,title,label,processed_title
45,"Senior Coordinator, Bus Fare Systems",CLASS13,senior coordinator bus fare systems
46,"Specialist, Marketing Outreach and Engagement - Inreach",CLASS6,specialist marketing outreach and engagement  inreach
47,"Specialist, Marketing Outreach and Engagement - Outreach",CLASS6,specialist marketing outreach and engagement  outreach
48,"Project Manager, Marketing Outreach and Engagement",CLASS6,project manager marketing outreach and engagement
49,"Manager, Wage Rate Progression Administration",CLASS1,manager wage rate progression administration
50,Signal Engineer I,CLASS8,signal engineer 1
51,Second Chance Programs Training Specialist,CLASS1,second chance programs training specialist
52,eLearning & Instructional Technology Administrator,CLASS1,elearning and instructional technology administrator
53,"Analyst, Treasury",CLASS10,analyst treasury
54,Project Specialist II - Technology,CLASS5,project specialist 2  technology
55,"Senior Manager, Asset Management",CLASS10,senior manager asset management
56,"Coordinator, AVAS",CLASS5,coordinator avas
57,"Training Specialist, Internship & Educational Programs",CLASS1,training specialist intern and educational programs
58,Track Worker,CLASS13,track worker
59,Mechanical Engineer II,CLASS8,mechanical engineer 2
60,Warehouse Worker I,CLASS7,warehouse worker 1
61,2022-2023 Yearlong Records Center Data Analytics and SharePoint Development Intern,CLASS5,  records center data analytics and sharepresentativeoint development intern
62,2022-2023 Yearlong Talent Acquisition Intern,CLASS1,  talent acquisition intern
63,Customer Service Business Systems Analyst,CLASS6,customer service business systems analyst
64,"Senior Coordinator, Fare Systems - Service Level",CLASS13,senior coordinator fare systems  service level
65,Benefits Services Specialist,CLASS1,benefits services specialist
66,Bilingual Customer Service Representative I,CLASS2,bilingual customer service representativeresentative 1
67,Power Engineer IV,CLASS8,power engineer 4
68,Service Truck Chauffeur I,CLASS13,service truck chauffeur 1
69,Civil Engineer III,CLASS8,civil engineer 3
70,Customer Service Representative I,CLASS2,customer service representativeresentative 1
71,"Project Manager, Customer Experience Innovations",CLASS5,project manager customer experience innovations
72,"Senior Analyst, Ridership Reporting",CLASS13,senior analyst ridership representativeorting
73,"Coordinator, Strategic Business Initiatives",CLASS13,coordinator strategic business initiatives
74,Rail Capital Oversight Project Manager,CLASS10,rail capital oversight project manager
75,2022 ‚Äì 2023 Yearlong Performance Management Data Analyst Intern,CLASS5,    performance management data analyst intern
76,"Senior Manager, Purchasing",CLASS7,senior manager purchasing
77,Car Repairer 'A',CLASS13,car representativeairer a
78,2022 - 2023 Yearlong Talent Assessment and Analytics Intern,CLASS1,    talent assessment and analytics intern
79,2022-2023 Yearlong Intern EEO & Compliance Programs Intern,CLASS3,  intern eeo and compliance programs intern
80,2022-2023 Yearlong Scheduling Data Analytics Intern,CLASS5,  scheduling data analytics intern
81,2022-2023 Yearlong Construction Safety Engineering Intern,CLASS8,  construction safety engineering intern
82,2022-2023 Yearlong Government Community Relations Internship,CLASS13,  government community relations intern
83,"Coordinator, Title VI and Affirmative Action",CLASS13,coordinator title vi and affirmative action
84,Senior Attorney - Labor & Employment,CLASS9,senior attorney  labor and employment
85,Part Time Bus Operator,CLASS13,part time bus operator
86,Senior Internal Auditor,CLASS10,senior internal auditor
87,"Coordinator, Curriculum Development - QC",CLASS1,coordinator curriculum development  qc
88,"Coordinator, Curriculum Development - eLearning",CLASS1,coordinator curriculum development  elearning
89,"Manager, Signal Engineering",CLASS8,manager signal engineering
90,"Coordinator, Internship & Educational Programs",CLASS1,coordinator intern and educational programs
91,"Coordinator, Small Business Development & Outreach",CLASS6,coordinator small business development and outreach
92,"Manager, Rail Station Management",CLASS13,manager rail station management
93,Service Planner - Bus,CLASS13,service planner  bus
94,P10 Laborer Form- CSA Only,CLASS13, laborer form csa 
95,P10 Janitor Form‚Äì CSA ONLY,CLASS13, janitor form csa 
96,P10 Material Handler Form‚Äì CSA ONLY,CLASS13, material handler form csa 
97,P10 Car Servicer Form- CSA Only,CLASS13, car servicer form csa 
98,P10 Track Worker Form‚Äì CSA ONLY,CLASS13, track worker form csa 
99,2022 ‚Äì 2023 Yearlong Business Administration Intern,CLASS1,    business administration intern
100,2022 ‚Äì 2023 Yearlong Data Analyst Intern ‚Äì Performance Management,CLASS5,    data analyst intern  performance management
101,Chief Attorney - Torts,CLASS9,chief attorney  torts
102,Deputy Chief Engineer - RLE,CLASS8,deputy chief engineer  rle
103,Project Specialist II - Worker's Compensation Investigations,CLASS1,project specialist 2  workers compensation investigations
104,Mechanical Unit Assembler,CLASS8,mechanical unit assembler
105,Stockroom Clerk - Bus,CLASS13,stockroom clerk  bus
106,Electrical Worker,CLASS13,electrical worker
107,"Administrator, Procurement",CLASS7,administrator procurement
108,Specification/Quality Assurance Engineer IV,CLASS8,specificationquality assurance engineer 4
109,"Senior Coordinator, Construction Safety",CLASS13,senior coordinator construction safety
110,"Senior Coordinator, HR Marketing, Outreach, & Engagement",CLASS6,senior coordinator human resource marketing outreach and engagement
111,Full-Time Temporary Legal Assistant,CLASS9,fulltime temporary legal assistant
112,"Coordinator, Special Services Planning",CLASS13,coordinator special services planning
113,Accountant I,CLASS10,accountant 1
114,Accountant II,CLASS10,accountant 2
115,Grant Accountant I,CLASS10,grant accountant 1
116,"Director, Internal Audit",CLASS10,director internal audit
117,Planner II-Service Analysis (7550),CLASS13,planner iiservice analysis 
118,Project Manager I (0355),CLASS5,project manager 1 
119,Bus Mechanic - ED (5401),CLASS13,bus mechanic  ed 
120,Director Project Controls (0002B),CLASS10,director project controls 
121,WSA Rail Equipment Mechanic (5403A),CLASS13,wsa rail equipment mechanic 
122,Supv Signal Systems (6102),CLASS13,supervisor signal systems 
123,Customer Information Rep (0402),CLASS2,customer information representative 
124,Fare Enforcement Officer (0443),CLASS13,fare enforcement officer 
125,Apprentice Police Telecommunic (0551),CLASS13,apprentice police telecommunic 
126,Vice President Bus Operations (0867),CLASS13,vice president bus operations 
127,VP Rail Operations (0873A),CLASS13,vp rail operations 
128,Platform Specialist III-ITS (7558A),CLASS5,platform specialist iiiits 
129,Engineering Support Specialist (9952A),CLASS11,engineering support specialist 
130,Director of Total Rewards (0258A),CLASS1,director of total rewards 
131,Financial Resource Analyst (0476E),CLASS10,financial resource analyst 
132,Benefit Analyst II (7538A),CLASS1,benefit analyst 2 
133,Trans Supv-Training (0376),CLASS1,trans supervisortraining 
134,Bus Student Operator (5200),CLASS13,bus student operator 
135,Applications Administrator-Inf (7560E),CLASS5,applications administratorinf 
136,Material Mgmt Tech - Dist (0418),CLASS7,material mgmt tech  dist 
137,Contract Comp Field Supervisor (1010A),CLASS1,contract comp field supervisor 
138,AVP Risk Management (1029),CLASS3,avp risk management 
139,Rail Student Operator (1068B),CLASS13,rail student operator 
140,Lead Track Maintainer-CROF (5701),CLASS13,lead track maintainercrof 
141,Asst Mgr Bus Dispatch (0346),CLASS13,asst manager bus dispatch 
142,Sr Mgr Rail Ops Training & Dev (0332S),CLASS1,senior manager rail operations training and dev 
143,Director Systems Safety (7534B),CLASS8,director systems safety 
144,Service Desk II (7557B),CLASS13,service desk 2 
145,Mobility Mgt. Services Rep (5209A),CLASS13,mobility management services representative 
146,Comm Technician -NWROF (1048),CLASS13,comm technician nwrof 
147,Project Mgr I-Service Planning (0940A),CLASS13,project manager iservice planning 
148,Product Manager-ERP (7571C),CLASS5,product managererp 
149,Supv-PA/Facility Services (0481),CLASS13,supervisorpafacility services 
150,Project Mgr IV-Systems Enginee (0575B),CLASS8,project manager ivsystems enginee 
151,Customer Support Rep (7525),CLASS2,customer support representative 
152,Coordinator-Bus Ops (0623B),CLASS13,coordinatorbus operations 
153,Sr Mgr Marketing (9945A),CLASS6,senior manager marketing 
154,Facility Mechanic - ED (5501),CLASS13,facility mechanic  ed 
155,Executive Assistant 2 (0195A),CLASS13,executive assistant 2 
156,DART Police Officer Apprentice (0061),CLASS13,dart police officer apprentice 
157,Coordinator-Maint PA (0478),CLASS13,coordinatormaint pa 
158,Asst Mgr Ops/Contract Compl (5210),CLASS3,asst manager operationscontract compl 
159,Supv Retail Stores Merch (9937),CLASS6,supervisor retail stores merch 
160,Program Mgr III (5211),CLASS5,program manager 3 
161,Lead Bus Mechanic - NW (5705),CLASS13,lead bus mechanic  nw 
162,Executive Assistant 3 (0767),CLASS13,executive assistant 3 
163,Executive Assistant 2 (7535A),CLASS13,executive assistant 2 
164,Bus Electronic Technician - ED (0192A),CLASS13,bus electronic technician  ed 
165,Bus Student Operator P/T (3347),CLASS13,bus student operator pt 
166,Analyst III-Planning Admin (7136),CLASS7,analyst iiiplanning admin 
167,Supv-Rail Services (6119),CLASS13,supervisorrail services 
168,Director of Talent Acquisition (5906C),CLASS1,director of talent acquisition 
169,Service Desk I (7557A),CLASS13,service desk 1 
170,Lead Mechanic-RCS (5710A),CLASS13,lead mechanicrcs 
171,Sr Mgr System Safety & Start-u (0586A),CLASS8,senior manager system safety and startu 
172,Mechanic - Central Support (5301),CLASS13,mechanic  central support 
173,Bus Dispatcher I (0375),CLASS13,bus dispatcher 1 
174,Analyst IV-Revenue (7144A),CLASS10,analyst ivrevenue 
175,VP Capital Design & Constr (7544),CLASS8,vp capital design and constr 
176,Manager-Service Desk (7564C),CLASS13,managerservice desk 
177,Applications Administrator-ERP (7574A),CLASS5,applications administratorerp 
178,AVP Capital Planning (1344),CLASS10,avp capital planning 
179,Lead Mechanic-LRV (5710),CLASS13,lead mechaniclrv 
180,LRV Structural Mechanic (5406),CLASS13,lrv structural mechanic 
181,Internal Auditor III (0930),CLASS10,internal auditor 3 
182,IT Systems Architect (7570A),CLASS5,it systems architect 
183,Schedule Analyst III (0003),CLASS8,schedule analyst 3 
184,Mechanic - Rail Cntrl Support (5502),CLASS13,mechanic  rail cntrl support 
185,Mechanic - Fare Equipment (5503),CLASS13,mechanic  fare equipment 
186,Maintainer - Traction Power-NW (9929),CLASS13,maintainer  traction powernw 
187,Facility Mechanic - NW (5501),CLASS13,facility mechanic  nw 
188,Material Cntrl Tech-Receiving (0418),CLASS13,material cntrl techuman resourceeceiving 
189,HR Representative I-Compensati (7548F),CLASS1,human resource representativeresentative icompensati 
190,Sr Mgr Procurement (0279A),CLASS7,senior manager procurement 
191,Director of Bus Operations Sup (0886A),CLASS7,director of bus operations sup 
192,Asst General Counsel (1101I),CLASS9,asst general counsel 
193,"Quality Review Specialist - HEDIS - January 3, 2023 Start Date (Temporary)",CLASS8,quality review specialist  hedis   3   
194,Public Affairs Manager,CLASS3,public affairs manager
195,Project Manager - Technical,CLASS5,project manager  technical
196,Production Designer,CLASS8,production designer
197,Project Manager ‚Äì Technical,CLASS5,project manager  technical
198,"Quality Review Specialist - HEDIS - January 2, 2023 Start Date (Temporary)",CLASS8,quality review specialist  hedis   2   
199,Reimbursement Analyst ‚Äì Rate Development,CLASS10,reimbursement analyst  rate development
200,Mental Health & Substance Use Disorder Services Data Quality Auditor,CLASS1,mental health and substance use disorder services data quality auditor
201,Marketing Senior Manager - Acquisition,CLASS6,marketing senior manager  acquisition
202,Special Needs Plan (SNP) Compliance Supervisor,CLASS3,special needs plan  compliance supervisor
203,Provider Relations Manager,CLASS13,provider relations manager
204,Preadmission Screening Coordinator,CLASS13,preadmission screening coordinator
205,Sales & Member Operations Specialist ‚Äì SNP,CLASS6,sales and member operations specialist  snp
206,I-SNP Program Coordinator,CLASS13,isnp program coordinator
207,"Vice President, Information Technology & Digital Delivery",CLASS5,vice president information technology and digital delivery
208,"Vice President, Configuration & Claims Operations (CCO)",CLASS13,vice president configuration and claims operations 
209,Utilization Review (UR) Supervisor – Outpatient,CLASS13,utilization review  supervisor  outpatient
210,Utilization Management Liaison – MSS,CLASS13,utilization management liaison  mss
211,User Experience (UX) Design Specialist,CLASS5,user experience  design specialist
212,UAT Analyst Super User,CLASS5,uat analyst super user
213,Template Designer,CLASS5,template designer
214,System Engineer Senior – Storage,CLASS5,system engineer senior  storage
215,Supplemental Benefits & Special Projects Manager,CLASS1,supplemental benefits and special projects manager
216,Software Engineer Senior – BizTalk,CLASS5,software engineer senior  biztalk
217,Software Engineer – Azure,CLASS5,software engineer  azure
218,Software Engineer - .NET,CLASS5,software engineer  net
219,Software Analyst Senior,CLASS5,software analyst senior
220,SNP Sales Specialist,CLASS6,snp sales specialist
221,SNBC Program Manager,CLASS13,snbc program manager
222,Senior Software Engineer - ETL,CLASS5,senior software engineer  etl
223,Senior Delegation Auditor,CLASS3,senior delegation auditor
224,Senior Database Administrator,CLASS5,senior database administrator
225,Senior Buyer,CLASS7,senior buyer
226,Security Engineer,CLASS5,security engineer
227,Sales Assistant - Broker (Multiple Openings),CLASS6,sales assistant  broker 
228,Robotics Process Automation (RPA) Engineer Lead,CLASS5,robotics process automation  engineer lead
229,RFP Writer,CLASS13,rfp writer
230,Restricted Recipient Program Supervisor,CLASS13,restricted recipient program supervisor
231,Quality Improvement Specialist,CLASS8,quality improvement specialist
232,Quality Control Manager,CLASS8,quality control manager
233,QA Analyst (Multiple Openings),CLASS8,quality assucance analyst 
234,Provider Demographics Specialist,CLASS13,provider demographics specialist
235,Provider Data Specialist – Non Contracted Providers,CLASS13,provider data specialist  non contracted providers
236,Provider Data Compliance Specialist,CLASS3,provider data compliance specialist
237,Provider Assistance Center (PAC) Representative – October 10th Start Date,CLASS13,provider assistance center  representativeresentative   10th 
238,Provider Assistance Center (PAC) Representative - July 11th Start Date,CLASS13,provider assistance center  representativeresentative   11th 
239,Project Manager Senior,CLASS13,project manager senior
240,Project Lead - Strategic Partnerships,CLASS13,project lead  strategic partnerships
241,Privacy Officer,CLASS3,privacy officer
242,Portfolio and Resource Coordinator Lead (Temporary - 2 Week Assignment),CLASS13,portfolio and resource coordinator lead 
243,Portfolio and Resource Coordinator,CLASS13,portfolio and resource coordinator
244,Pharmacy Operations Manager,CLASS7,pharmacy operations manager
245,Pharmacy Operations Coordinator – Quality,CLASS7,pharmacy operations coordinator  quality
246,Pharmacy Navigator,CLASS13,pharmacy navigator
247,Payment Integrity and Policy Manager,CLASS10,payment integrity and policy manager
248,Operations Business Analyst – Government Relations,CLASS3,operations business analyst  government relations
249,Operations Business Analyst,CLASS7,operations business analyst
250,MH & SUDS Operations Business Analyst,CLASS7,mh and suds operations business analyst
251,Member Engagement Specialist – PMAP,CLASS13,member engagement specialist  pmap
252,Member Engagement Specialist – MSHO/MSC+ Refusal-Unable to Reach,CLASS13,member engagement specialist  mshomsc refusalunable to reach
253,Member Engagement Specialist - Quality,CLASS6,member engagement specialist  quality
254,Medicare Sales Specialist – Southwest Minnesota,CLASS6,medicare sales specialist  southwest minnesota
255,Medicare Sales Specialist - Northeast Minnesota,CLASS6,medicare sales specialist  northeast minnesota
256,Medicare Government Programs Specialist,CLASS13,medicare government programs specialist
257,Medicare Government Programs Manager,CLASS13,medicare government programs manager
258,MBE Representative – Return Mail,CLASS13,mbe representativeresentative  return mail
259,MBE Reporting & Data Analyst,CLASS5,mbe representativeorting and data analyst
260,MBE Enrollment Specialist,CLASS13,mbe enrollment specialist
261,MBE Enrollment Representative Senior,CLASS13,mbe enrollment representativeresentative senior
262,MBE Enrollment Representative - State,CLASS13,mbe enrollment representativeresentative  state
263,MBE Billing Representative Senior,CLASS10,mbe billing representativeresentative senior
264,MBE Billing Representative,CLASS10,mbe billing representativeresentative
265,MBE Billing & Accounting Specialist,CLASS10,mbe billing and accounting specialist
266,Marketing Project Manager - Digital,CLASS6,marketing project manager  digital
267,Marketing Project Manager - Acquisitions,CLASS6,marketing project manager  acquisitions
268,Marketing Project Lead – Acquisition,CLASS6,marketing project lead  acquisition
269,Learning & Development Specialist Sr. - GuidingCare,CLASS1,learning and development specialist senior  guidingcare
270,Learning & Development Business Partner,CLASS1,learning and development business partner
271,IT Business Partner,CLASS5,it business partner
272,IT Asset Management Administrator,CLASS5,it asset management administrator
273,Intake Coordinator – SNBC,CLASS7,intake coordinator  snbc
274,HealthRules Technical Project Lead,CLASS5,healthuman resourceules technical project lead
275,Health Promotion Program Manager,CLASS13,health promotion program manager
276,Graphic Designer Sr.,CLASS6,graphic designer senior
277,Equity & Inclusion Officer,CLASS1,equity and inclusion officer
278,Customer Service Supervisor - Quality Reporting & Analytics,CLASS2,customer service supervisor  quality representativeorting and analytics
279,Customer Service Manager – Processes & Projects,CLASS2,customer service manager  processes and projects
280,Credentialing Delegation Specialist,CLASS13,credentialing delegation specialist
281,Corporate Counsel,CLASS9,corporate counsel
282,Coordination of Benefits Specialist,CLASS1,coordination of benefits specialist
283,Community Health Worker – Maternal & Child Health,CLASS13,community health worker  maternal and child health
284,Community Health Worker (CHW) Intern,CLASS13,community health worker  intern
285,Community Health Worker - Community Response Team,CLASS13,community health worker  community response team
286,Provider Contract Manager – Iowa,CLASS13,provider contract manager  iowa
287,Product Specialist – Medicare,CLASS13,product specialist  medicare
288,Provider Relations Liaison - Elderly Waiver,CLASS13,provider relations liaison  elderly waiver
289,Housing Specialist,CLASS13,housing specialist
290,Pharmacy Supervisor - Regulatory,CLASS13,pharmacy supervisor  regulatory
291,Pharmacy Supervisor - Formulary,CLASS13,pharmacy supervisor  formulary
292,Pharmacy Clinical Operations Coordinator,CLASS7,pharmacy clinical operations coordinator
293,Learning & Development Specialist – MBE,CLASS1,learning and development specialist  mbe
294,Intake Specialist – MSS,CLASS7,intake specialist  mss
295,State Government Relations Specialist - Iowa,CLASS9,state government relations specialist  iowa
296,Senior Technical Business Analyst - Prospective Payment Systems,CLASS5,senior technical business analyst  prospective payment systems
297,Quality Improvement Specialist (Internship),CLASS8,quality improvement specialist 
298,MH & SUDS Utilization Management Supervisor,CLASS13,mh and suds utilization management supervisor
299,"Provider Assistance Center (PAC) Representative – January 10, 2022 Start Date",CLASS13,provider assistance center  representativeresentative   10  
300,Purchasing Specialist,CLASS7,purchasing specialist
301,MH & SUDS Utilization Management Specialist,CLASS13,mh and suds utilization management specialist
302,Intake Coordinator - Care Management,CLASS7,intake coordinator  care management
303,SIU Senior Investigator,CLASS3,siu senior investigator
304,Utilization Management Manager - MH & SUDS,CLASS13,utilization management manager  mh and suds
305,Provider Contract Coordinator,CLASS13,provider contract coordinator
306,HR Operations Coordinator,CLASS1,human resource operations coordinator
307,"Provider Assistance Center (PAC) Representative – January 3, 2022 Start Date",CLASS13,provider assistance center  representativeresentative   3  
308,Health Educator,CLASS13,health educator
309,Provider Contract Manager - Health Equity Network Advancement,CLASS13,provider contract manager  health equity network advancement
310,Program Manager,CLASS13,program manager
311,Member Services Rep – Aspirus – Primary,CLASS13,member services representative  aspirus  primary
312,Member Services Rep – Aspirus – Auxillary,CLASS13,member services representative  aspirus  auxillary
313,Medicare Sales Specialist - Greater MN and WI,CLASS6,medicare sales specialist  greater mn and wi
314,Identity and Access Management Administrator,CLASS3,identity and access management administrator
315,Quality Control Supervisor,CLASS8,quality control supervisor
316,Recruiter,CLASS1,recruiter
317,Security Analyst,CLASS5,security analyst
318,MSS Regulatory Specialist,CLASS3,mss regulatory specialist
319,MSS Oversight Manager,CLASS3,mss oversight manager
320,Medicare Marketing Representative-Greater MN and WI,CLASS6,medicare marketing representativeresentativegreater mn and wi
321,Regulatory Compliance Lead,CLASS3,regulatory compliance lead
322,User Acceptance Testing (UAT) Analyst,CLASS5,user acceptance testing  analyst
323,Senior Executive Assistant - Public Affairs,CLASS3,senior executive assistant  public affairs
324,"Quality Review Specialist (HEDIS Temporary Position: January 3, 2022-May 13, 2022)",CLASS8,quality review specialist 
325,Provider Data Compliance Analyst,CLASS3,provider data compliance analyst
326,Provider Communications Specialist - BPO,CLASS13,provider communications specialist  bpo
327,Product Manager - Individual & Family Plans,CLASS5,product manager  individual and family plans
328,Paralegal,CLASS9,paralegal
329,Medicare Sales Specialist - Metro,CLASS6,medicare sales specialist  metro
330,MBE Representative Senior – Medicare,CLASS13,mbe representativeresentative senior  medicare
331,MBE Representative - Medicare,CLASS13,mbe representativeresentative  medicare
332,MBE Billing and Accounting Specialist,CLASS10,mbe billing and accounting specialist
333,MBE Billing and Accounting Representative,CLASS10,mbe billing and accounting representativeresentative
334,Marketing Communications Lead - Individual & Family Plans,CLASS6,marketing communications lead  individual and family plans
335,ITSM Configuration Management/Discovery Administrator,CLASS7,itsm configuration managementdiscovery administrator
336,Vendor Payment Solutions Coordinator,CLASS5,vendor payment solutions coordinator
337,Software Engineer Sr. - ETL,CLASS5,software engineer senior  etl
338,Senior Marketing Analyst,CLASS6,senior marketing analyst
339,Membership Enrollment Representative - State,CLASS13,membership enrollment representativeresentative  state
340,MBE Specialist - Medicare,CLASS13,mbe specialist  medicare
341,Utilization Review Specialist - MH & SUDS (Temporary - 6 Month Assignment),CLASS13,utilization review specialist  mh and suds 
342,Sales and Member Operations Specialist - Duluth,CLASS6,sales and member operations specialist  duluth
343,Senior Financial Analyst (Remote Position),CLASS10,senior financial analyst 
344,Senior Financial Analyst,CLASS10,senior financial analyst
345,Senior Financial Analyst - Run the Business,CLASS10,senior financial analyst  run the business
346,Provider Assistance Center (PAC) Representative - September 13th Start Date,CLASS13,provider assistance center  representativeresentative   13th 
347,Treasury Analyst Senior,CLASS10,treasury analyst senior
348,Web Scrum Lead,CLASS5,web scrum lead
349,Provider Services Supervisor,CLASS13,provider services supervisor
350,Clinical Informaticist Lead,CLASS13,clinical informaticist lead
351,Provider Assistance Center (PAC) Representative - August 16th Start Date,CLASS13,provider assistance center  representativeresentative   16th 
352,Proposal Writer,CLASS13,proposal writer
353,Membership Enrollment Representative,CLASS13,membership enrollment representativeresentative
354,Clinical Compliance Specialist - UM Delegate Oversight,CLASS3,clinical compliance specialist  um delegate oversight
355,"Senior Executive Assistant - Legal, Compliance & Internal Audit",CLASS3,senior executive assistant  legal compliance and internal audit
356,Medicare Sales Specialist - EssentiaCare (Duluth Area),CLASS6,medicare sales specialist  essentiacare 
357,Financial Analyst Sr. - Encounters,CLASS10,financial analyst senior  encounters
358,"Executive Assistant - Quality Management & Population Health, Pharmacy (Health Services)",CLASS13,executive assistant  quality management and population health pharmacy 
359,Communications Lead - State Public Programs (SPP),CLASS6,communications lead  state public programs 
360,Provider Assistance Center (PAC) Representative - August 9th Start Date,CLASS13,provider assistance center  representativeresentative   9th 
361,Medicare Sales Specialist (Temporary - 4 Month Assignment),CLASS6,medicare sales specialist 
362,Federal Government Relations Manager,CLASS3,federal government relations manager
363,Clinical Quality and Compliance Specialist,CLASS3,clinical quality and compliance specialist
364,Member Engagement Specialist - Part-Time (Temporary),CLASS6,member engagement specialist  parttime 
365,Health Services Data Analyst,CLASS5,health services data analyst
366,Senior Contract Analyst - ACO (Remote Position),CLASS3,senior contract analyst  aco 
367,Membership Billing Representative Senior,CLASS10,membership billing representativeresentative senior
368,Accounting Operations Specialist (Temporary - 6 Month Assignment),CLASS10,accounting operations specialist 
369,Accountant Senior (Temporary - 6 Month Assignment),CLASS10,accountant senior 
370,Membership Billing & Enrollment (MBE) Representative Senior,CLASS10,membership billing and enrollment  representativeresentative senior
371,Payroll Specialist,CLASS10,payroll specialist
372,State Government Relations Specialist,CLASS3,state government relations specialist
373,Health and Racial Equity Intern,CLASS1,health and racial equity intern
374,Accountant Senior,CLASS10,accountant senior
375,ServiceNow Developer,CLASS5,servicenow developer
376,Recruitment Specialist,CLASS1,recruitment specialist
377,Grid Connection Manager,CLASS8,grid connection manager
378,Deployment Center Test Lab Manager,CLASS4,deployment center test lab manager
379,Senior Site Reliability Engineer,CLASS4,senior site reliability engineer
380,Site Reliability Engineer,CLASS4,site reliability engineer
381,Automation Programme Manager,CLASS8,automation programme manager
382,Paid Media Executive,CLASS6,paid media executive
383,Senior Garment Technologist,CLASS8,senior garment technologist
384,Senior Marketing Manager,CLASS6,senior marketing manager
385,Senior Graphic Designer,CLASS6,senior graphic designer
386,Senior Product Insight Analyst,CLASS6,senior product insight analyst
387,Digital Insight Lead,CLASS6,digital insight lead
388,Senior Paid Social Executive,CLASS6,senior paid social executive
389,Senior CRM Executive,CLASS6,senior crm executive
390,Senior Digital Insight Analyst,CLASS6,senior digital insight analyst
391,Junior Graphic Designer,CLASS6,junior graphic designer
392,Insight & Analytics Lead,CLASS6,insight and analytics lead
393,Garment Technologist - MAT Cover,CLASS8,garment technologist  mat cover
394,CRM Assistant,CLASS6,crm assistant
395,Garment Technologist,CLASS8,garment technologist
396,Compliance/AML Assistant - Stryk Legal and Compliance · Limassol · Hybrid Remote,CLASS3,complianceaml assistant  stryk legal and compliance  limassol  hybrid remote
397,Compliance Analyst Legal and Compliance · London,CLASS3,compliance analyst legal and compliance  london
398,Compliance Analyst (London) Legal and Compliance · London,CLASS3,compliance analyst  legal and compliance  london
399,Compliance Officer Legal and Compliance · Amsterdam,CLASS3,compliance officer legal and compliance  amsterdam
400,Compliance Officer Legal and Compliance · Nicosia,CLASS3,compliance officer legal and compliance  nicosia
401,Contracts Attorney,CLASS9,contracts attorney
402,Corporate Paralegal,CLASS9,corporate paralegal
403,Head of Compliance Legal and Compliance · Limassol,CLASS3,head of compliance legal and compliance  limassol
